perangkatid;name;processor_brand;processor_name;ram;storage_capacity;storage_type;battery;screen;graphic;price
30658;ASUS ZenBook Duo 14 (2021) Touch Panel Intel EVO Core i7 11th Gen;Intel;Core i7;16 GB;1 TB;SSD;3;1W Full HD LED Backlit LCD IPS-level Anti-Glare Touch Display (400 nits Brightness, 100% sRGB Color Gamut, Pantone Validated, 93% Screen to Body Ratio);Intel Integrated Iris Xe;25041913
30659;Lenovo IdeaPad Ryzen 5 Hexa Core 5500U;AMD;Ryzen 5 Hexa Core;8 GB;512 GB;SSD;14;Full HD (IPS 300nits Anti-glare, 45% NTSC);AMD Radeon Radeon;11059013
30660;Lenovo IdeaPad Gaming Core i5 10th Gen;Intel;Core i5;8 GB;1 TB;HDD;8;Full HD LED Backlit, IPS Anti-Glare Display (250 nits Brightness, 60Hz Refresh Rate);NVIDIA GeForce GTX 1650;13772113
30661;Lenovo IdeaPad Gaming 3i Core i7 11th Gen;Intel;Core i7;8 GB;512 GB;SSD;8;Full HD (IPS 250nits Anti-glare, 120Hz, 45% NTSC, DC dimmer);NVIDIA GeForce RTX 3050;18572213
30662;MSI GS66 Core i7 11th Gen;Intel;Core i7;16 GB;1 TB;SSD;3;QHD Display (165Hz DCI-P3 100% Typical);NVIDIA GeForce RTX 3070;43261423
30663;ASUS ROG Strix Ryzen 9 Octa Core 5900HX;AMD;Ryzen 9 Octa Core;16 GB;1 TB;SSD;3;Full HD LED Backlit Anti-glare Display (16:9, 300nits Brightness, NTSC: 72% Color Gamut, Value IPS-level);NVIDIA GeForce RTX 3060;30885513
30664;ASUS ROG Strix Ryzen 7 Octa Core 4800H;AMD;Ryzen 7 Octa Core;8 GB;512 GB;SSD;4;Full HD LED Backlit Anti-glare Display (16:9, 250nits Brightness, NTSC: 45% Color Gamut, Value IPS-level);NVIDIA GeForce RTX 3050;17320013
30665;realme Book(Slim) Intel Evo Core i5 11th Gen;Intel;Core i5;8 GB;512 GB;SSD;3;2K QHD, IPS LCD Display ( 400nits peak brightness, 100% sRGB,3:2 aspect ratio, Full Vision Display);Intel Integrated Iris Xe;11685113
30666;realme Book (Slim) Core i3 11th Gen;Intel;Core i3;8 GB;256 GB;SSD;11;2K QHD, IPS LCD Display ( 400nits peak brightness, 100% sRGB,3:2 aspect ratio, Full Vision Display);Intel Integrated UHD;8972013
30667;ASUS ROG Strix G15 (2021) Ryzen 7 Octa Core 4800H;AMD;Ryzen 7 Octa Core;8 GB;512 GB;SSD;4;Full HD Anti-glare Display (16:9, 170 Viewing Angle, Value IPS-level Panel, 250nits Brightness, 1:1000 Contrast, 45% NTSC, 62.5% SRGB, 47.34% Adobe);NVIDIA GeForce GTX 1650;16067813
30668;realme Book(Slim) Intel Evo Core i5 11th Gen;Intel;Core i5;8 GB;512 GB;SSD;5;2K QHD, IPS LCD Display ( 400nits peak brightness, 100% sRGB,3:2 aspect ratio, Full Vision Display);Intel Integrated Iris Xe;11685113
30669;HP Pavilion Gaming Core i7 11th Gen;Intel;Core i7;16 GB;512 GB;SSD;4;Full HD IPS Micro-edge Anti-glare Display (250 nits Brightness, 141 PPI, 45% NTSC Color Gamut);NVIDIA GeForce GTX 1650;17737413
30670;ASUS ASUS TUF Dash Core i5 11th Gen;Intel;Core i5;16 GB;512 GB;SSD;4;Full HD Anti-glare Display (16:9, 85/85/85/85Viewing Angle, Value IPS-level Panel, 250nits Brightness, 1:1000 Contrast, 45% NTSC, 62.5% SRGB, 47.34% Adobe);NVIDIA GeForce RTX RTX;17946113
30671;ASUS Vivobook Ultra K14 Core i5 11th Gen;Intel;Core i5;16 GB;512 GB;SSD;8;14.0-inch,FHD (1920 x 1080) 16:9,IPS-level Panel,Anti-glare display,LED Backlit,250nits,NTSC: 45%,Screen-to-body ratio: 84 ?;Intel Integrated Intel Iris Xe;13335930
30672;HP Pavilion Aero Ryzen 5 Hexa Core 5600U;AMD;Ryzen 5 Hexa Core;16 GB;512 GB;SSD;3;"""WUXGA, IPS, micro-edge, anti-glare (Brightness: 400 nits, 170 ppi,Color Gamut: 100% sRGB) """;AMD Radeon Radeon;1345885
30673;HP HP Envy Intel EVO Core i5 11th Gen;Intel;Core i5;16 GB;512 GB;SSD;3;Full HD,multitouch-enabled (IPS, edge-to-edge glass, micro-edge, Brightness: 400 nits, 166 ppi, Color Gamut: 100% sRGB);NVIDIA GeForce MX450;16193033
30674;DELL Insprion 3501 Core i3 11th Gen;Intel;Core i3;8 GB;1 TB;HDD;3;;Intel Integrated Intel;9076363
30675;ASUS Vivobook 14 Core i3 10th Gen;Intel;Core i3;4 GB;1 TB;HDD;6;35.56cm(14.0-inch),FHD (1920 x 1080) 16:9,Anti-glare display,LED Backlit,200nits,NTSC: 45%,Screen-to-body ratio: 78%;Intel Integrated UHD;7093713
30676;MSI Pulse GL66 Core i7 11th Gen;Intel;Core i7;16 GB;512 GB;SSD;4;Full HD IPS Display (72% NTSC Color Gamut, 100% sRGB);NVIDIA GeForce RTX 3050 Ti;22641863
30677;MSI GP76 Core i7 11th Gen;Intel;Core i7;16 GB;1 TB;SSD;5;Full HD IPS Display (100% sRGB);NVIDIA GeForce RTX 3070;37563913
30678;acer Predator Helios 300 Core i7 11th Gen;Intel;Core i7;16 GB;1 TB;SSD;5;Quad HD IPS LED Backlit TFT Acer ComfyView Display (300 nits Brightness, DCI-P3 100%, 3 ms Overdrive, 16:9 aspect ratio);NVIDIA GeForce RTX 3060;27128913
30679;ASUS ROG Strix G15 (2021) Advantage Edition Ryzen 9 Octa Core 5900HX;AMD;Ryzen 9 Octa Core;16 GB;1 TB;SSD;7;WQHD 16:9,165Hz,IPS-level,anti-glare display, Free Sync;AMD Radeon RX 6800M;32346413
30680;HP Pavilion Ryzen 5 Hexa Core 5600H;AMD;Ryzen 5 Hexa Core;8 GB;512 GB;SSD;3;Full HD WLED-Backlit IPS Anti-glare Micro-edge Display (Brightness: 250 nits, 141 PPI, Color Gamut: 45% NTSC);NVIDIA GeForce GTX 1650;12102513
30681;ASUS ROG Strix G15 (2021) Ryzen 7 Octa Core 4800H;AMD;Ryzen 7 Octa Core;8 GB;512 GB;SSD;5;Full HD Anti-glare Display (16:9, 170 Viewing Angle, Value IPS-level Panel, 250nits Brightness, 1:1000 Contrast, 45% NTSC, 62.5% SRGB, 47.34% Adobe);NVIDIA GeForce GTX 1650;14815613
30682;ASUS Core i5 11th Gen;Intel;Core i5;8 GB;1 TB;SSD;7;;NVIDIA GeForce Nvidia MX330-2GB;13146013
30683;Lenovo Core i3 10th Gen;Intel;Core i3;8 GB;256 GB;SSD;3;;Intel Integrated;8554613
30684;RedmiBook Pro Core i5 11th Gen;Intel;Core i5;8 GB;512 GB;SSD;10;Full HD Anti glare display, 81.8% Screen to Body ratio and DC Dimming;Intel Integrated Iris Xe;10224213
30685;RedmiBook 15 Core i3 11th Gen;Intel;Core i3;8 GB;256 GB;SSD;10;Full HD Anti glare display, 81.8% Screen to Body ratio and DC Dimming;Intel Integrated UHD;8554613
30686;MSI Modern 14 Ryzen 5 Hexa Core 4500U;AMD;Ryzen 5 Hexa Core;8 GB;512 GB;SSD;5;Full HD 60Hz 45%NTSC IPS-Level Display;AMD Radeon;9389413
